-298,-410,131
-350,-555,414
-502,-912,815
-570,-1069,1019
-490,-1049,745
-423,-921,730
-404,-662,705
-384,-525,557
-399,-522,662
-363,-355,902
-439,-163,1328
-378,-309,1188
-383,-295,1095
-389,-61,1079
-487,293,1081
-317,-148,1032
-311,-20,1045
-377,157,1323
-437,-93,1395
-469,-103,1274
-359,55,1149
-249,289,874
-166,876,835
-167,1096,947
-309,550,934
-158,553,810
-168,640,610
-11,496,262
-79,652,-74
16,978,-63
25,1058,-23
-76,1010,10
-29,900,-256
68,789,-545
46,591,-461
-1,415,-487
71,494,-907
-24,378,-902
-33,202,-799
0,169,-1000
1,141,-1144
23,88,-1054
-23,-103,-921
-12,-119,-789
-1,-347,-842
64,-505,-554
-68,-241,-309
-217,-65,-410
-236,-455,-868
-308,-1185,-1091
-267,-1310,-668
-278,-800,-232
-202,-856,-234
-179,-513,-696
-262,-1016,190
-241,-835,-19
-276,-760,-178
-395,-921,66
-414,-904,13
-483,-791,-243
-542,-810,624
-499,-685,649
-507,-449,303
-509,-819,395
-501,-1193,433
-667,-1009,667
-510,-641,763
-486,-238,667
-418,-337,342
-541,-465,771
-644,-580,933
-672,-514,858
-644,-362,957
-592,-321,896
-548,-334,883
-747,-151,629
-696,-173,665
-633,-358,1023
-582,-188,1160
-583,-191,1008
-400,20,807
-434,-214,668
-488,-64,889
-579,24,1004
-531,111,785
-495,126,708
-531,184,827
-546,136,879
-617,134,972
-689,211,1090
-543,194,779
-448,176,579
-336,-48,601
-477,-74,841
-787,259,1251
-655,-135,1169
-489,-7,625
-662,154,657
-748,225,826
-929,66,881
-833,50,922
-777,117,679
-231,-140,166
-617,-203,136
-951,-166,224
-1031,32,866
-1201,-232,738
-1038,-137,580
-1067,-199,562
-1148,-231,773
-1092,-295,822
-947,-590,691
-931,-622,468
-818,-537,188
-853,-461,-18
-711,-479,-123
-540,-554,143
-631,-713,132
-613,-627,111
-561,-662,187
-443,-701,142
-548,-854,110
-614,-1012,363
-552,-887,346
-467,-861,228
-463,-983,1
-313,-1086,66
-454,-1115,151
-495,-1219,279
-682,-752,515
124,-589,-1128
-103,-540,-816
-201,-760,-211
-197,-1450,-109
-213,-1391,-162
-143,-960,-264
-44,-822,-371
39,-900,-420
0,-828,-470
32,-987,-515
-4,-830,-618
101,-577,-628
-20,-254,-453
101,-232,-675
117,-160,-944
164,155,-1052
1,-143,-782
-90,-342,-717
-68,-180,-1054
32,255,-1254
-31,102,-1123
-23,-100,-1219
-59,163,-959
-65,202,-725
-69,80,-881
-109,189,-846
-94,453,-682
-128,561,-786
-202,546,-832
-199,650,-646
-250,654,-671
-230,690,-755
-291,637,-686
-358,529,-547
-478,889,-411
-402,1003,-502
-430,887,-547
-482,960,-313
-465,809,-447
-438,884,-494
-495,872,-292
-500,770,-297
-478,843,-193
-503,718,-169
-459,792,-235
-445,942,-181
-456,892,-133
-444,899,-160
-470,883,-140
-425,888,-254
-413,937,-219
-423,927,-279
-408,911,-261
-467,970,113
-480,913,36
-404,781,-189
-429,894,-198
-421,944,-145
-439,934,-183
-416,925,-194
-458,857,-17
-399,843,-172
-440,854,-158
-423,822,-153
-383,860,-155
-387,942,-120
-373,932,-177
-356,926,-97
-393,877,-70
-338,967,-50
-322,948,-1
-315,837,-5
-349,948,18
-318,998,22
-309,939,61
-310,996,46
-272,1086,115
-372,951,178
-267,913,296
-379,979,353
-390,1004,326
-440,1076,398
-364,1254,534
-303,809,373
-207,695,266
-260,806,482
-299,911,665
-432,702,562
-368,689,513
-346,787,661
-405,810,754
-427,756,711
-320,619,617
-325,625,659
-475,640,870
-394,574,713
-390,554,746
-357,492,873
-420,465,826
-493,460,878
-488,351,885
-399,394,896
-449,266,790
-507,101,897
-688,57,829
-567,9,887
-496,-35,853
-642,-92,763
-649,-88,695
-426,-26,569
-407,41,643
-435,42,534
-668,-55,616
-727,93,755
-694,260,865
-750,248,836
-914,201,921
-836,255,810
-844,276,722
-848,229,595
-1023,168,658
-1023,266,667
-888,163,466
-841,161,340
-868,151,367
-988,205,413
-1032,115,236
-975,60,227
-1044,28,185
-1055,-42,174
-1077,-73,105
-1071,-120,162
-1027,-241,118
-978,-248,75
-1017,-300,66
-1028,-426,37
-896,-440,-78
-831,-402,179
-831,-462,139
-792,-555,-245
-989,-409,178
-928,-548,-156
-932,-759,19
-833,-451,426
-762,-589,164
-801,-747,-146
-790,-684,-149
-692,-709,-35
-692,-768,-196
-677,-694,-235
-575,-705,-70
-564,-687,-156
-686,-750,-340
-642,-808,-405
-560,-684,-320
-689,-704,-426
-646,-789,-465
-573,-733,-500
-554,-775,-487
-406,-635,-504
-447,-615,-603
-410,-580,-576
-343,-532,-634
-337,-491,-710
-261,-614,-756
-224,-536,-876
-145,-417,-867
-143,-531,-955
-103,-476,-895
5,-390,-785
-35,-425,-888
97,-323,-900
147,-208,-971
125,-137,-912
190,-247,-937
232,-132,-947
328,-26,-906
371,-173,-876
446,-3,-981
454,62,-872
473,31,-827
528,177,-825
543,119,-848
667,150,-790
598,229,-722
585,215,-739
657,373,-655
642,396,-582
725,384,-652
820,508,-536
757,515,-439
717,550,-316
674,521,-314
740,624,-198
819,578,-234
692,659,-28
662,689,-28
622,736,-19
675,625,10
765,602,98
795,625,175
551,701,379
680,746,193
702,687,498
797,652,239
646,677,353
636,582,331
635,711,339
594,592,525
561,704,479
627,624,451
541,718,574
537,717,602
673,629,667
580,646,566
539,624,570
472,506,584
502,464,593
435,455,752
444,356,748
471,400,756
340,270,826
373,203,735
340,218,627
248,223,879
290,219,933
186,255,1041
212,193,824
142,126,1014
112,172,1041
52,102,868
103,-37,1078
115,108,1083
62,-31,922
-2,-141,852
-41,-172,1028
-100,-142,1070
-59,-216,848
-105,-430,878
-55,-98,1026
-221,-51,1101
-136,-166,1109
-219,-197,1126
-264,-178,907
-341,66,867
-416,71,1082
-191,156,1014
-479,178,921
-587,68,1212
-413,304,1072
-423,201,1001
-520,171,956
-466,144,884
-430,375,960
-470,318,749
-592,183,785
-575,412,1037
-690,275,745
-822,350,789
-774,153,569
-787,264,668
-643,269,699
-587,236,700
-767,452,739
-852,391,966
-199,-50,170
-468,305,503
-890,341,540
-736,180,545
-673,474,626
-839,349,485
-739,250,363
-744,277,401
-810,372,413
-865,375,277
-920,340,223
-904,309,199
-972,56,-106
-1148,328,100
-1028,374,96
-1041,15,-95
-1059,183,21
-923,17,-128
-969,41,-97
-1177,-223,-217
-1088,-255,-265
-918,-76,-116
-939,-283,-193
-908,-485,-348
-866,-339,-261
-860,-248,-222
-888,-507,-349
-783,-646,-436
-711,-527,-441
-778,-575,-534
-685,-849,-565
-572,-785,-533
-621,-639,-464
-523,-655,-440
-542,-658,-493
-508,-636,-484
-515,-778,-634
-400,-676,-517
-345,-721,-531
-286,-815,-537
-284,-721,-572
-259,-660,-658
-201,-750,-632
